2019-01-07 21:09:56.466753: I tensorflow/core/common_runtime/process_util.cc:69] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
Training...

batch 16400: train=0.950000 test=1.000000
batch 16500: train=0.900000 test=0.800000
batch 16600: train=1.000000 test=1.000000
batch 16700: train=1.000000 test=0.950000
batch 16800: train=0.950000 test=0.950000
batch 16900: train=1.000000 test=0.950000
batch 17000: train=1.000000 test=0.950000
batch 17100: train=1.000000 test=0.950000
batch 17200: train=1.000000 test=1.000000
batch 17300: train=1.000000 test=0.950000
batch 17400: train=0.950000 test=1.000000
batch 17500: train=1.000000 test=0.950000
batch 17600: train=1.000000 test=0.950000
batch 17700: train=1.000000 test=0.950000
batch 17800: train=0.950000 test=1.000000
batch 17900: train=1.000000 test=0.950000
batch 18000: train=0.950000 test=0.950000
batch 18100: train=1.000000 test=1.000000
batch 18200: train=1.000000 test=0.900000
batch 18300: train=0.900000 test=1.000000
batch 18400: train=1.000000 test=0.950000
batch 18500: train=1.000000 test=1.000000
batch 18600: train=1.000000 test=0.950000
batch 18700: train=1.000000 test=0.950000
batch 18800: train=1.000000 test=1.000000
batch 18900: train=1.000000 test=1.000000
batch 19000: train=1.000000 test=1.000000
batch 19100: train=1.000000 test=1.000000
batch 19200: train=1.000000 test=1.000000
batch 19300: train=1.000000 test=0.950000
batch 19400: train=1.000000 test=0.900000
batch 19500: train=0.900000 test=1.000000
batch 19600: train=1.000000 test=0.950000
batch 19700: train=0.900000 test=0.950000
batch 19800: train=1.000000 test=1.000000
batch 19900: train=1.000000 test=1.000000
batch 20000: train=0.950000 test=1.000000
batch 20100: train=0.950000 test=1.000000
batch 20200: train=1.000000 test=0.950000
batch 20300: train=1.000000 test=0.850000
batch 20400: train=1.000000 test=0.950000
batch 20500: train=1.000000 test=1.000000
batch 20600: train=1.000000 test=0.950000
batch 20700: train=1.000000 test=1.000000
batch 20800: train=1.000000 test=0.950000
batch 20900: train=0.900000 test=0.950000
batch 21000: train=1.000000 test=0.950000
